"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.277960940E-1,-3.284371197E-1,7.983144522E-1,-7.549812086E-3,8.632693125E-1
6.302014580E-1,-3.259936571E-1,7.683820724E-1,-4.495488480E-3,8.346874164E-1
6.326059370E-1,-3.204958737E-1,7.134042978E-1,-2.662894316E-3,7.820935930E-1
6.350113540E-1,-3.211067319E-1,6.260505915E-1,-2.052029595E-3,7.036000904E-1
6.374175000E-1,-3.223284483E-1,4.996015728E-1,-2.662894316E-3,5.945624030E-1
6.398227600E-1,-3.253827989E-1,3.316138089E-1,-7.549812086E-3,4.646489898E-1
6.422273440E-1,-3.302696943E-1,1.239197925E-1,-1.365845930E-2,3.530166278E-1
6.446327600E-1,-3.351566195E-1,-1.075979322E-1,-2.404315956E-2,3.528248123E-1
6.470388540E-1,-3.357674778E-1,-3.531655669E-1,-3.687131777E-2,4.886974635E-1
6.494442190E-1,-3.284371197E-1,-5.993440151E-1,-5.092120916E-2,6.853299640E-1
6.518487500E-1,-3.143872321E-1,-8.113140464E-1,-6.985801458E-2,8.728974486E-1
6.542541150E-1,-2.850657105E-1,-9.554781318E-1,-9.062741697E-2,1.001206396E0
6.566602600E-1,-2.459703684E-1,-1.025727630E0,-1.126185432E-1,1.060802304E0
6.590655210E-1,-2.032098472E-1,-1.031836271E0,-1.333879381E-1,1.060081447E0
6.614701040E-1,-1.580058485E-1,-1.025727630E0,-1.511030197E-1,1.048768392E0
6.638755210E-1,-1.146344617E-1,-1.037334085E0,-1.706506908E-1,1.057508733E0
6.662816150E-1,-7.492825389E-2,-1.052605629E0,-1.840897202E-1,1.071205806E0
6.686869790E-1,-4.927193373E-2,-1.047718763E0,-1.865331829E-1,1.065334201E0
6.710915100E-1,-4.621761292E-2,-9.970169663E-1,-1.761484742E-1,1.013512301E0
6.734968750E-1,-7.676085085E-2,-8.998894691E-1,-1.572116762E-1,9.167381284E-1
6.759030210E-1,-1.335712671E-1,-7.777165174E-1,-1.346096694E-1,8.005023598E-1
6.783083850E-1,-2.099293470E-1,-6.653174162E-1,-1.040664390E-1,7.053704124E-1
6.807128650E-1,-2.844548523E-1,-5.700225234E-1,-7.107974589E-2,6.410090253E-1
6.831182810E-1,-3.522608280E-1,-4.527364969E-1,-3.198440000E-2,5.745267865E-1
6.855243750E-1,-4.133473039E-1,-2.884138823E-1,1.383045409E-2,5.042121008E-1
6.879297400E-1,-4.738229215E-1,-9.049372375E-2,6.269963086E-2,4.864447746E-1
6.903342710E-1,-5.355202556E-1,1.281958520E-1,1.121796742E-1,5.619612085E-1
6.927396350E-1,-6.014936566E-1,3.725417256E-1,1.561619341E-1,7.245471040E-1
6.951457810E-1,-6.729648113E-1,6.413222551E-1,1.952572763E-1,9.498954027E-1
6.975511460E-1,-7.487120628E-1,9.210982919E-1,2.251896411E-1,1.208181357E0
6.999556250E-1,-8.330113888E-1,1.196598291E0,2.502351105E-1,1.479315063E0
7.023610420E-1,-9.276953936E-1,1.453772306E0,2.716153562E-1,1.745808570E0
7.047671870E-1,-1.029709816E0,1.679181457E0,2.874978483E-1,1.990629971E0
7.071724480E-1,-1.143330693E0,1.861829996E0,2.991042733E-1,2.205239074E0
7.095770310E-1,-1.267947078E0,1.999885440E0,3.039911985E-1,2.387392346E0
7.119824480E-1,-1.399893880E0,2.095180273E0,3.107106984E-1,2.538902202E0
